순번,졸업년도,내신,군,지역,위도,경도
1,2022,1.457,수시,서울,37.5665,126.978
2,2022,1.457,수시,서울,37.5665,126.978
3,2022,1.482,수시,서울,37.5665,126.978
4,2022,1.482,수시,서울,37.5665,126.978
5,2022,1.482,수시,서울,37.5665,126.978
6,2022,1.491,수시,서울,37.5665,126.978
7,2022,1.491,수시,서울,37.5665,126.978
8,2022,1.491,수시,서울,37.5665,126.978
9,2022,1.491,수시,서울,37.5665,126.978
10,2022,1.624,수시,서울,37.5665,126.978
11,2022,1.655,수시,서울,37.5665,126.978
12,2022,1.853,수시,서울,37.5665,126.978
13,2022,1.853,수시,서울,37.5665,126.978
14,2022,1.862,수시,서울,37.5665,126.978
15,2022,1.862,수시,서울,37.5665,126.978
16,2022,1.922,수시,서울,37.5665,126.978
17,2022,1.922,수시,서울,37.5665,126.978
18,2022,1.922,수시,서울,37.5665,126.978
19,2022,2.009,수시,서울,37.5665,126.978
20,2022,2.089,수시,서울,37.5665,126.978
21,2022,2.103,수시,서울,37.5665,126.978
22,2022,2.103,수시,서울,37.5665,126.978
23,2022,2.103,수시,서울,37.5665,126.978
24,2022,2.214,수시,서울,37.5665,126.978
25,2022,2.214,수시,서울,37.5665,126.978
26,2022,2.214,수시,서울,37.5665,126.978
27,2022,2.214,수시,서울,37.5665,126.978
28,2022,2.233,수시,서울,37.5665,126.978
29,2022,2.233,수시,서울,37.5665,126.978
30,2022,2.302,수시,서울,37.5665,126.978
31,2022,2.336,수시,서울,37.5665,126.978
32,2022,2.336,수시,서울,37.5665,126.978
33,2022,2.336,수시,서울,37.5665,126.978
34,2022,2.432,수시,서울,37.5665,126.978
35,2022,2.612,정시,서울,37.5665,126.978
36,2022,2.612,정시,서울,37.5665,126.978
37,2022,2.612,수시,서울,37.5665,126.978
38,2022,2.612,수시,서울,37.5665,126.978
39,2022,2.819,정시,서울,37.5665,126.978
40,2022,2.819,정시,서울,37.5665,126.978
41,2022,2.911,수시,서울,37.5665,126.978
42,2022,2.911,수시,서울,37.5665,126.978
43,2022,2.911,수시,서울,37.5665,126.978
44,2022,2.922,수시,서울,37.5665,126.978
45,2022,2.922,수시,서울,37.5665,126.978
46,2022,2.931,수시,경기,37.4138,127.5183
47,2022,2.931,수시,서울,37.5665,126.978
48,2022,2.938,수시,서울,37.5665,126.978
49,2022,2.938,수시,서울,37.5665,126.978
50,2022,2.94,수시,서울,37.5665,126.978
51,2022,2.957,수시,서울,37.5665,126.978
52,2022,2.957,수시,서울,37.5665,126.978
53,2022,2.974,수시,서울,37.5665,126.978
54,2022,2.991,수시,서울,37.5665,126.978
55,2022,2.992,수시,서울,37.5665,126.978
56,2022,3.034,수시,서울,37.5665,126.978
57,2022,3.071,정시,충남,36.5184,126.8
58,2022,3.071,수시,서울,37.5665,126.978
59,2022,3.071,수시,경기,37.4138,127.5183
60,2022,3.084,정시,충남,36.5184,126.8
61,2022,3.084,정시,충북,36.6372,127.4915
62,2022,3.121,수시,서울,37.5665,126.978
63,2022,3.121,수시,서울,37.5665,126.978
64,2022,3.121,수시,서울,37.5665,126.978
65,2022,3.19,수시,경기,37.4138,127.5183
66,2022,3.19,수시,경기,37.4138,127.5183
67,2022,3.19,수시,서울,37.5665,126.978
68,2022,3.19,수시,서울,37.5665,126.978
69,2022,3.207,수시,인천,37.4563,126.7052
70,2022,3.207,수시,경기,37.4138,127.5183
71,2022,3.241,정시,서울,37.5665,126.978
72,2022,3.416,수시,서울,37.5665,126.978
73,2022,3.416,수시,서울,37.5665,126.978
74,2022,3.416,수시,서울,37.5665,126.978
75,2022,3.416,수시,경기,37.4138,127.5183
76,2022,3.5,정시,서울,37.5665,126.978
77,2022,3.5,정시,서울,37.5665,126.978
78,2022,3.518,수시,서울,37.5665,126.978
79,2022,3.518,수시,서울,37.5665,126.978
80,2022,3.526,정시,서울,37.5665,126.978
81,2022,3.526,정시,서울,37.5665,126.978
82,2022,3.554,수시,서울,37.5665,126.978
83,2022,3.603,수시,경기,37.4138,127.5183
84,2022,3.603,수시,서울,37.5665,126.978
85,2022,3.603,수시,경기,37.4138,127.5183
86,2022,3.638,수시,충남,36.5184,126.8
87,2022,3.638,수시,서울,37.5665,126.978
88,2022,3.638,수시,서울,37.5665,126.978
89,2022,3.638,수시,세종,36.4802,127.2891
90,2022,3.655,정시,서울,37.5665,126.978
91,2022,3.681,수시,서울,37.5665,126.978
92,2022,3.681,수시,인천,37.4563,126.7052
93,2022,3.724,수시,서울,37.5665,126.978
94,2022,3.741,수시,서울,37.5665,126.978
95,2022,3.741,수시,서울,37.5665,126.978
96,2022,3.819,수시,세종,36.4802,127.2891
97,2022,3.882,수시,서울,37.5665,126.978
98,2022,3.911,수시,경기,37.4138,127.5183
99,2022,3.911,수시,서울,37.5665,126.978
100,2022,3.974,수시,서울,37.5665,126.978
101,2022,3.974,수시,충남,36.5184,126.8
102,2022,3.974,수시,경기,37.4138,127.5183
103,2022,3.991,정시,경기,37.4138,127.5183
104,2022,4.008,수시,경기,37.4138,127.5183
105,2022,4.008,수시,서울,37.5665,126.978
106,2022,4.017,수시,경기,37.4138,127.5183
107,2022,4.018,정시,서울,37.5665,126.978
108,2022,4.018,정시,서울,37.5665,126.978
109,2022,4.126,수시,서울,37.5665,126.978
110,2022,4.126,수시,서울,37.5665,126.978
111,2022,4.172,수시,서울,37.5665,126.978
112,2022,4.181,정시,경기,37.4138,127.5183
113,2022,4.181,정시,충남,36.5184,126.8
114,2022,4.19,수시,경기,37.4138,127.5183
115,2022,4.19,수시,경기,37.4138,127.5183
116,2022,4.19,수시,경기,37.4138,127.5183
117,2022,4.19,수시,세종,36.4802,127.2891
118,2022,4.226,정시,서울,37.5665,126.978
119,2022,4.267,수시,경기,37.4138,127.5183
120,2022,4.31,수시,서울,37.5665,126.978
121,2022,4.403,정시,충남,36.5184,126.8
122,2022,4.462,정시,강원,37.8228,128.1555
123,2022,4.474,정시,서울,37.5665,126.978
124,2022,4.5,정시,강원,37.8228,128.1555
125,2022,4.5,수시,서울,37.5665,126.978
126,2022,4.534,정시,경기,37.4138,127.5183
127,2022,4.534,정시,충남,36.5184,126.8
128,2022,4.543,정시,서울,37.5665,126.978
129,2022,4.543,정시,서울,37.5665,126.978
130,2022,4.974,수시,서울,37.5665,126.978
131,2022,4.991,수시,서울,37.5665,126.978
132,2022,5.018,수시,경기,37.4138,127.5183
133,2022,5.028,수시,대전,36.3504,127.3845
134,2022,5.028,수시,대전,36.3504,127.3845
135,2022,5.028,수시,충남,36.5184,126.8
136,2022,5.028,수시,경남,35.4606,128.2132
137,2022,5.043,수시,서울,37.5665,126.978
138,2022,5.078,수시,경기,37.4138,127.5183
139,2022,5.164,수시,경기,37.4138,127.5183
140,2022,5.259,수시,경기,37.4138,127.5183
141,2022,5.379,정시,경기,37.4138,127.5183
142,2022,5.448,수시,경기,37.4138,127.5183
143,2022,5.448,수시,서울,37.5665,126.978
144,2022,5.448,수시,대전,36.3504,127.3845
145,2022,5.448,수시,강원,37.8228,128.1555
146,2022,5.474,수시,서울,37.5665,126.978
147,2022,5.482,정시,충남,36.5184,126.8
148,2022,5.526,수시,경기,37.4138,127.5183
149,2022,5.534,수시,경북,36.5787,128
150,2022,5.534,수시,경기,37.4138,127.5183
151,2022,5.534,수시,대전,36.3504,127.3845
152,2022,5.543,정시,경기,37.4138,127.5183
153,2022,5.543,정시,경기,37.4138,127.5183
154,2022,5.578,수시,경기,37.4138,127.5183
155,2022,5.586,수시,강원,37.8228,128.1555
156,2022,5.698,정시,경북,36.5787,128
157,2022,5.793,정시,부산,35.1796,129.0756
158,2022,5.862,수시,경기,37.4138,127.5183
159,2022,5.908,수시,경북,36.5787,128
160,2022,5.911,정시,서울,37.5665,126.978
161,2022,5.911,정시,서울,37.5665,126.978
162,2022,5.911,정시,서울,37.5665,126.978
163,2022,5.948,수시,충남,36.5184,126.8
164,2022,6.026,수시,충남,36.5184,126.8
165,2022,6.026,수시,충남,36.5184,126.8
166,2022,6.026,수시,충남,36.5184,126.8
167,2022,6.078,수시,경기,37.4138,127.5183
168,2022,6.078,수시,충남,36.5184,126.8
169,2022,6.078,수시,서울,37.5665,126.978
170,2022,6.129,정시,경북,36.5787,128
171,2022,6.25,정시,충남,36.5184,126.8
172,2022,6.25,정시,경기,37.4138,127.5183
173,2022,6.31,정시,경기,37.4138,127.5183
174,2022,6.31,정시,경북,36.5787,128
175,2022,6.31,정시,경기,37.4138,127.5183
176,2022,6.345,수시,경기,37.4138,127.5183
177,2022,6.345,수시,경기,37.4138,127.5183
178,2022,6.345,수시,경기,37.4138,127.5183
179,2022,6.362,수시,충북,36.6372,127.4915
180,2022,6.362,수시,충남,36.5184,126.8
181,2022,6.362,수시,강원,37.8228,128.1555
182,2022,6.39,수시,충남,36.5184,126.8
183,2022,6.474,정시,서울,37.5665,126.978
184,2022,6.474,정시,경기,37.4138,127.5183
185,2022,6.517,수시,경기,37.4138,127.5183
186,2022,6.517,수시,경기,37.4138,127.5183
187,2022,6.578,수시,강원,37.8228,128.1555
188,2022,6.578,수시,충북,36.6372,127.4915
189,2022,6.578,수시,충남,36.5184,126.8
190,2022,7.879,수시,충북,36.6372,127.4915
191,2023,1.296,수시,서울,37.5665,126.978
192,2023,1.296,수시,서울,37.5665,126.978
193,2023,1.333,수시,서울,37.5665,126.978
194,2023,1.333,수시,서울,37.5665,126.978
195,2023,1.424,수시,서울,37.5665,126.978
196,2023,1.424,수시,서울,37.5665,126.978
197,2023,1.631,수시,서울,37.5665,126.978
198,2023,1.631,수시,경기,37.4138,127.5183
199,2023,1.635,수시,인천,37.4563,126.7052
200,2023,1.635,수시,서울,37.5665,126.978
201,2023,1.635,수시,강원,37.8228,128.1555
202,2023,1.635,수시,충북,36.6372,127.4915
203,2023,1.775,수시,서울,37.5665,126.978
204,2023,1.883,수시,서울,37.5665,126.978
205,2023,1.926,수시,경기,37.4138,127.5183
206,2023,1.926,수시,서울,37.5665,126.978
207,2023,1.926,수시,강원,37.8228,128.1555
208,2023,1.926,수시,서울,37.5665,126.978
209,2023,1.926,수시,서울,37.5665,126.978
210,2023,2,수시,서울,37.5665,126.978
211,2023,2.009,수시,서울,37.5665,126.978
212,2023,2.009,수시,서울,37.5665,126.978
213,2023,2.009,수시,서울,37.5665,126.978
214,2023,2.009,수시,서울,37.5665,126.978
215,2023,2.072,수시,서울,37.5665,126.978
216,2023,2.072,수시,서울,37.5665,126.978
217,2023,2.203,수시,서울,37.5665,126.978
218,2023,2.203,수시,서울,37.5665,126.978
219,2023,2.203,수시,서울,37.5665,126.978
220,2023,2.203,수시,충북,36.6372,127.4915
221,2023,2.209,수시,서울,37.5665,126.978
222,2023,2.209,수시,서울,37.5665,126.978
223,2023,2.27,수시,서울,37.5665,126.978
224,2023,2.27,수시,서울,37.5665,126.978
225,2023,2.315,수시,서울,37.5665,126.978
226,2023,2.315,수시,서울,37.5665,126.978
227,2023,2.417,수시,서울,37.5665,126.978
228,2023,2.468,수시,서울,37.5665,126.978
229,2023,2.468,수시,서울,37.5665,126.978
230,2023,2.522,수시,서울,37.5665,126.978
231,2023,2.522,수시,서울,37.5665,126.978
232,2023,2.522,수시,경기,37.4138,127.5183
233,2023,2.522,수시,서울,37.5665,126.978
234,2023,2.6,수시,서울,37.5665,126.978
235,2023,2.6,수시,서울,37.5665,126.978
236,2023,2.64,수시,서울,37.5665,126.978
237,2023,2.73,수시,서울,37.5665,126.978
238,2023,2.73,수시,서울,37.5665,126.978
239,2023,2.765,수시,서울,37.5665,126.978
240,2023,2.765,수시,서울,37.5665,126.978
241,2023,2.791,수시,서울,37.5665,126.978
242,2023,2.791,수시,서울,37.5665,126.978
243,2023,2.8,정시,서울,37.5665,126.978
244,2023,2.883,수시,서울,37.5665,126.978
245,2023,2.957,수시,서울,37.5665,126.978
246,2023,2.957,수시,서울,37.5665,126.978
247,2023,2.957,수시,서울,37.5665,126.978
248,2023,3,수시,서울,37.5665,126.978
249,2023,3,수시,서울,37.5665,126.978
250,2023,3.008,수시,서울,37.5665,126.978
251,2023,3.008,수시,서울,37.5665,126.978
252,2023,3.052,수시,경기,37.4138,127.5183
253,2023,3.052,수시,서울,37.5665,126.978
254,2023,3.081,수시,서울,37.5665,126.978
255,2023,3.081,수시,서울,37.5665,126.978
256,2023,3.139,수시,서울,37.5665,126.978
257,2023,3.139,수시,경기,37.4138,127.5183
258,2023,3.139,수시,인천,37.4563,126.7052
259,2023,3.231,정시,서울,37.5665,126.978
260,2023,3.231,정시,서울,37.5665,126.978
261,2023,3.287,수시,서울,37.5665,126.978
262,2023,3.408,정시,서울,37.5665,126.978
263,2023,3.504,수시,경기,37.4138,127.5183
264,2023,3.522,수시,서울,37.5665,126.978
265,2023,3.522,수시,서울,37.5665,126.978
266,2023,3.583,정시,서울,37.5665,126.978
267,2023,3.593,정시,서울,37.5665,126.978
268,2023,3.593,정시,서울,37.5665,126.978
269,2023,3.635,수시,경기,37.4138,127.5183
270,2023,3.652,수시,서울,37.5665,126.978
271,2023,3.652,수시,경기,37.4138,127.5183
272,2023,3.652,수시,인천,37.4563,126.7052
273,2023,3.661,수시,서울,37.5665,126.978
274,2023,3.661,수시,세종,36.4802,127.2891
275,2023,3.661,수시,충북,36.6372,127.4915
276,2023,3.67,수시,서울,37.5665,126.978
277,2023,3.67,수시,서울,37.5665,126.978
278,2023,3.67,수시,서울,37.5665,126.978
279,2023,3.67,수시,부산,35.1796,129.0756
280,2023,3.67,수시,충북,36.6372,127.4915
281,2023,3.73,수시,서울,37.5665,126.978
282,2023,3.73,수시,경기,37.4138,127.5183
283,2023,3.73,수시,서울,37.5665,126.978
284,2023,3.774,수시,서울,37.5665,126.978
285,2023,3.774,수시,서울,37.5665,126.978
286,2023,3.774,수시,경기,37.4138,127.5183
287,2023,3.831,정시,서울,37.5665,126.978
288,2023,3.831,정시,서울,37.5665,126.978
289,2023,3.864,정시,서울,37.5665,126.978
290,2023,3.868,정시,서울,37.5665,126.978
291,2023,3.904,수시,서울,37.5665,126.978
292,2023,3.922,수시,충남,36.5184,126.8
293,2023,3.922,수시,충남,36.5184,126.8
294,2023,3.991,수시,서울,37.5665,126.978
295,2023,4.056,정시,서울,37.5665,126.978
296,2023,4.056,정시,서울,37.5665,126.978
297,2023,4.072,수시,경기,37.4138,127.5183
298,2023,4.157,수시,경기,37.4138,127.5183
299,2023,4.183,수시,경기,37.4138,127.5183
300,2023,4.183,수시,경기,37.4138,127.5183
301,2023,4.183,수시,강원,37.8228,128.1555
302,2023,4.19,정시,서울,37.5665,126.978
303,2023,4.19,정시,서울,37.5665,126.978
304,2023,4.19,정시,서울,37.5665,126.978
305,2023,4.191,수시,경기,37.4138,127.5183
306,2023,4.191,수시,강원,37.8228,128.1555
307,2023,4.191,수시,광주,36.5787,128
308,2023,4.198,정시,서울,37.5665,126.978
309,2023,4.198,정시,서울,37.5665,126.978
310,2023,4.2,수시,서울,37.5665,126.978
311,2023,4.259,수시,경기,37.4138,127.5183
312,2023,4.281,수시,대전,36.3504,127.3845
313,2023,4.281,수시,대전,36.3504,127.3845
314,2023,4.304,수시,충남,36.5184,126.8
315,2023,4.304,수시,충남,36.5184,126.8
316,2023,4.33,수시,서울,37.5665,126.978
317,2023,4.441,정시,서울,37.5665,126.978
318,2023,4.446,수시,충남,36.5184,126.8
319,2023,4.452,수시,충남,36.5184,126.8
320,2023,4.452,수시,강원,37.8228,128.1555
321,2023,4.452,수시,경북,36.5787,128
322,2023,4.46,정시,서울,37.5665,126.978
323,2023,4.46,정시,서울,37.5665,126.978
324,2023,4.485,정시,서울,37.5665,126.978
325,2023,4.504,수시,경기,37.4138,127.5183
326,2023,4.514,수시,경기,37.4138,127.5183
327,2023,4.574,수시,경기,37.4138,127.5183
328,2023,4.574,수시,경기,37.4138,127.5183
329,2023,4.583,수시,경기,37.4138,127.5183
330,2023,4.619,정시,서울,37.5665,126.978
331,2023,4.619,정시,경기,37.4138,127.5183
332,2023,4.622,수시,경기,37.4138,127.5183
333,2023,4.626,수시,강원,37.8228,128.1555
334,2023,4.652,수시,서울,37.5665,126.978
335,2023,4.653,수시,경기,37.4138,127.5183
336,2023,4.661,수시,충북,36.6372,127.4915
337,2023,4.817,수시,경기,37.4138,127.5183
338,2023,4.835,정시,경기,37.4138,127.5183
339,2023,4.896,수시,경기,37.4138,127.5183
340,2023,4.946,수시,경기,37.4138,127.5183
341,2023,4.946,수시,서울,37.5665,126.978
342,2023,4.946,수시,경기,37.4138,127.5183
343,2023,5.052,수시,광주,36.5787,128
344,2023,5.052,수시,충북,36.6372,127.4915
345,2023,5.052,수시,광주,36.5787,128
346,2023,5.052,수시,광주,36.5787,128
347,2023,5.123,정시,서울,37.5665,126.978
348,2023,5.153,수시,인천,37.4563,126.7052
349,2023,5.206,정시,경기,37.4138,127.5183
350,2023,5.239,수시,경기,37.4138,127.5183
351,2023,5.243,수시,서울,37.5665,126.978
352,2023,5.243,수시,강원,37.8228,128.1555
353,2023,5.254,수시,서울,37.5665,126.978
354,2023,5.31,정시,서울,37.5665,126.978
355,2023,5.348,수시,충남,36.5184,126.8
356,2023,5.348,수시,대전,36.3504,127.3845
357,2023,5.364,수시,서울,37.5665,126.978
358,2023,5.4,수시,강원,37.8228,128.1555
359,2023,5.4,수시,충남,36.5184,126.8
360,2023,5.452,수시,경기,37.4138,127.5183
361,2023,5.452,수시,경기,37.4138,127.5183
362,2023,5.635,수시,충북,36.6372,127.4915
363,2023,5.793,수시,경북,36.5787,128
364,2023,5.793,수시,경북,36.5787,128
365,2023,5.818,정시,경기,37.4138,127.5183
366,2023,5.912,수시,강원,37.8228,128.1555
367,2023,5.913,정시,경기,37.4138,127.5183
368,2023,5.957,수시,전북,37.4563,126.7052
369,2023,5.957,수시,경북,36.5787,128
370,2023,5.957,수시,충북,36.6372,127.4915
371,2023,6.175,정시,경기,37.4138,127.5183
372,2023,6.225,수시,강원,37.8228,128.1555
373,2023,6.292,정시,경기,37.4138,127.5183
374,2023,6.292,정시,충남,36.5184,126.8
375,2023,6.292,정시,서울,37.5665,126.978
376,2023,7.55,수시,서울,37.5665,126.978
377,2023,7.55,수시,서울,37.5665,126.978
378,2023,7.598,수시,서울,37.5665,126.978
379,2023,7.635,수시,전북,37.4563,126.7052
380,2023,7.939,수시,경북,36.5787,128
381,2023,7.939,수시,전북,37.4563,126.7052
